results.address_1,results.city,results.classification,results.code_info,results.country,results.distribution_pattern,event_id,results.initial_firm_notification,results.product_description,results.postal_code,results.product_quantity,results.product_type,results.reason_for_recall,results.recall_number,results.recalling_firm,results.state,results.status,results.voluntary_mandated,recall_initiation_date,report_date,center_classification_date,termination_date
1 General Mills Blvd,Minneapolis,Class II,Best if Used By 01MAY2018,United States,"CA, OR, WA",79025,E-Mail,"Larabar Chocolate Chip Cookie Dough, 5 - 1.6 oz (45g) bars Net Wt 8.0 oz(226g), UPC 21908-48817.  Case UPC 000-21908-41675-5",55426-1347,147 cases,Food,"Larabar Chocolate Chip Cookie Dough, 5 count, are being recalled because they may contain individually wrapped and labeled Coconut Cream Pie Bars.",F-0797-2018,"General Mills, Inc",MN,Terminated,Voluntary: Firm initiated,2018-01-25,2018-02-21,2018-02-12,2020-01-21
1 Highliner Ave,Portsmouth,Class II,Lot Number:  0027031110,United States,nationwide,77489,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Fisherman's Reserve 12/1lb Breaded Haddock Fillets,  Item Number: B1378",03801-4146,"693,408 cases (total for all products)",Food,Product may contain undeclared milk.,F-2665-2017,High Liner Foods Inc.,NH,Terminated,Voluntary: Firm initiated,2017-06-09,2017-08-23,2017-08-15,2017-12-14
1 Highliner Ave,Portsmouth,Class II,Lot Number: 0027049181,United States,nationwide,77489,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Southern Home 12/24oz Breaded Minced Fish Sticks,  Item Number: B1133",03801-4146,"693,408 cases (total for all products)",Food,Product may contain undeclared milk.,F-2656-2017,High Liner Foods Inc.,NH,Terminated,Voluntary: Firm initiated,2017-06-09,2017-08-23,2017-08-15,2017-12-14
1 Highliner Ave,Portsmouth,Class II,Lot Number: 0027051210; 0027072110; 0027023210; 0027072210; 0027023110; 0027051110,United States,nationwide,77489,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","HFS 1/10.35 lb Whole Grain Oven Ready Potato Breaded Pollock Wedges 3.6 oz,, Item Number: 53374",03801-4146,"693,408 cases (total for all products",Food,Product may contain undeclared milk.,F-2733-2017,High Liner Foods Inc.,NH,Terminated,Voluntary: Firm initiated,2017-06-09,2017-08-23,2017-08-15,2017-12-14
1 Highliner Ave,Portsmouth,Class II,Lot Number: 0027056190; 0027056290; 0027114190; 0027115290,United States,nationwide,77489,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",HLSC 12/10oz Summer Herb Crusted Cod Item Number:    1029449,03801-4146,"693,408 cases (total for all products)",Food,Product may contain undeclared milk.,F-2632-2017,High Liner Foods Inc.,NH,Terminated,Voluntary: Firm initiated,2017-06-09,2017-08-23,2017-08-15,2017-12-14
1 Highliner Ave,Portsmouth,Class II,Lot Number: 0027114130,United States,nationwide,77489,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Whole Foods 12/12oz Oven Ready Breaded Calamari Rings,  Item Number: B1322",03801-4146,"693,408 cases (total for all products)",Food,Product may contain undeclared milk.,F-2662-2017,High Liner Foods Inc.,NH,Terminated,Voluntary: Firm initiated,2017-06-09,2017-08-23,2017-08-15,2017-12-14
1 Highliner Ave,Portsmouth,Class II,Lot Number: 0047038220; 0047121120; 0047009121,United States,nationwide,77489,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","HFS 10/6lb Crunchy Row Breaded Cod Rectangles 3 oz.,  Item Number: 10002800",03801-4146,"693,408 cases (total for all products)",Food,Product may contain undeclared milk.,F-2767-2017,High Liner Foods Inc.,NH,Terminated,Voluntary: Firm initiated,2017-06-09,2017-08-23,2017-08-15,2017-12-14
1 Highliner Ave,Portsmouth,Class II,Lot Number: 0047040211; 0047040110,United States,nationwide,77489,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",HFS 10/6lb Breaded Crispy Style Cod Fish Portions  Item Number: 10003220,03801-4146,"693,408 cases (total for all products)",Food,Product may contain undeclared milk.,F-2769-2017,High Liner Foods Inc.,NH,Terminated,Voluntary: Firm initiated,2017-06-09,2017-08-23,2017-08-15,2017-12-14
1 Highliner Ave,Portsmouth,Class II,Lot Number: 0047138111; 0047050131; 0047138210; 0047082220; 0047082122; 0047030130; 0047118230; 0047097211; 0047075231; 0047042231,United States,nationwide,77489,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","HFS 1/10LB Lightly Breaded Cod Tail Portions 5oz,  Item Number: 02075",03801-4146,"693,408 cases (total for all products)",Food,Product may contain undeclared milk.,F-2680-2017,High Liner Foods Inc.,NH,Terminated,Voluntary: Firm initiated,2017-06-09,2017-08-23,2017-08-15,2017-12-14
1 Ice Cream Dr,Dunkirk,Class I,The recalled products have a production date of May 2017 to August 2017 and a best by date of May 2018 to August 2018.,United States,"Sold to distributors in: MA, IL, CA, PR, CA, FL, MN, IL, OH, CT, MI, MO. Product was distributed nationwide including Puerto Rico.",78876,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","RASPBERRY Cream Ice Cream Bars: Sundae SHOPPE, 12 Bars, UPC  041498204631",14048-3300,"639,900 cases (total for all products)",Food,Product may be contaminated with Listeria monocytogenes.,F-0686-2018,Fieldbrook Foods Corporation,NY,Terminated,Voluntary: Firm initiated,2018-01-03,2018-01-24,2018-01-30,2019-02-12
1 Maple Ave,White Plains,Class II,Time Stamp - 13:40-13:55 Expiration 03/13/24,United States,Georgia,93923,E-Mail,Dannon Plain Yogurt packaged in 32oz plastic carton with lid - 6 cartons per case,10605-1476,15 cases (90 units),Food,Potential contamination with sanitizer,F-0871-2024,DANONE US LLC,NY,Terminated,Voluntary: Firm initiated,2024-02-01,2024-02-21,2024-02-13,2024-03-11
1 Persnickety Pl,Plymouth,Class I,Sell By date of  H10APR17,United States,"USA:   AL, AR, AZ, CA, CO, CT, FL, GA, IA, IL, IN, KS, LA, MA, MD, ME, MI, MN, MO, NC, NH, NJ, NV, NY, OH, OK, OR, PA, SC,  PR, TN, TX, UT, VA, VT, WA, WI.    OUS: GUATEMALA, MEXICO, PANAMA, NASSAU",76461,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Sargento Shredded Chef Blends 4 Cheese Pizzeria, 8oz., UPC 4610041105, Sell By date: H10APR17",53073-3544,"116,554 cases  / 2,467,145 units for all products",Food,Sargento Foods Inc. was notified by their supplier that the cheese that was supplied may have been contaminated with Listeria monocytogenes.,F-1656-2017,"Sargento Foods, Inc.",WI,Terminated,Voluntary: Firm initiated,2017-02-10,2017-03-29,2017-03-21,2017-08-03
1 Persnickety Pl,Plymouth,Class II,Batch # A30205,United States,"AR, IL, WA",81561,E-Mail,"Frozen Unbreaded Egg, Gouda, caramelized onion.  Sample Number 18-0116.01.  Keep Frozen at 0-degrees or below zero.  ""Food for Research or Evaluation Use"".  Sargento Technical Center, Elkhart Lake, WI  53020",53073-3544,12 pieces,Food,"Sargento is recalling Frozen Unbreaded French Onion CC, Frozen Unbreaded Egg 3 cheese and caramelized Onion and Frozen Unbreaded Egg, Gouda, caramelized onion due to potential Listeria monocytogenes or Salmonella contamination.",F-0754-2019,"Sargento Foods, Inc.",WI,Terminated,Voluntary: Firm initiated,2018-11-09,2019-01-02,2018-12-21,2019-08-14
1 Procter And Gamble Plz,Cincinnati,Class II,"Batch Numbers: 0240C60404, 1166C60401, 1218C60401, 1237C60401, 1321C60401,1321C60402, 1321C604Q1, 2038C60401, 2152C60401 , 2153C60401      Lot Numbers: 0240C60404, 1166C60401, 1218C60401, 1237C60401, 1321C60401, 1321C60402, 1321C604Q1, 2038C60401, 2152C60401,  2153C60401     Product Number: 80338364    Item UPC: 323900041066  Case UPC: 10323900041063    Expiration Dates: 0240C60404   07/31/2022, 1166C60401   05/31/2023, 1218C60401   07/31/2023, 1237C60401   07/31/2023, 1321C60401   10/31/2023, 1321C60402   10/31/2023, 1321C604Q1   10/31/2023, 2038C60401   01/31/2024, 2152C60401   05/31/2024,  2153C60401   05/31/2024",United States,"Alaska, Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Maine, Massachusetts, Maryland, Michigan, Minnesota, Missouri, Mississippi, North Carolina, North Dakota, New Hampshire, New Jersey, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Washington, Wisconsin, and West Virginia.",90615,E-Mail,Vicks Children's Botanicals Liquid Nighttime  4oz plastic bottle,45202-3315,"18,490 cases",Food,Acidified/Low Acid dietary supplement with no approved process.,F-1535-2022,The Procter & Gamble Company,OH,Terminated,Voluntary: Firm initiated,2022-07-12,2022-08-10,2022-08-03,2024-08-15
1 Robert Rich Way,Buffalo,Class II,UPC: 87574 55501   Lot: C189 0239,United States,"OK, MO, NC, MS, LA, KS",87025,E-Mail,"OUR SPECIALTY; Cake Truffles; Variety; Chocolate; Cookies 'N Creme; NO: Artificial Colors, Flavors, or High  Fructose Corn Syrup; Net Wt. 19.5 oz(1 LB 3.5 oz) (552 g)",14213-1701,589 cases,Food,Product contains undeclared wheat.,F-0193-2021,Rich Products Corp,NY,Terminated,Voluntary: Firm initiated,2020-12-22,2021-01-13,2021-01-05,2021-04-30
1 Strawberry Ln,Orrville,Class I,Lot codes: 1274425   2140425 UPC: 5150024548 Best By Dates: 10/01/22 - 05/20/23,United States,"AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI, WV, WY",90255,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",JIF 33.5 OUNCE NO ADDED SUGAR CREAMY PEANUT BUTTER,44667-1241,67504 cases total,Food,Products are potentially contaminated with Salmonella.,F-1116-2022,The JM Smucker Company LLC,OH,Terminated,Voluntary: Firm initiated,2022-05-20,2022-06-08,2022-06-01,2023-03-17
1 Strawberry Ln,Orrville,Class I,Lot codes: 1274425   2140425 UPC: 5150072002 Best By Dates: 10/01/23 - 05/20/24,United States,"AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI, WV, WY",90255,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",JIF 40 OUNCE CRUNCHY PEANUT BUTTER,44667-1241,402038 cases total,Food,Products are potentially contaminated with Salmonella.,F-1126-2022,The JM Smucker Company LLC,OH,Terminated,Voluntary: Firm initiated,2022-05-20,2022-06-08,2022-06-01,2023-03-17
1 Tower Ln,Oakbrook Ter,Class II,"All products shipped on or after January 1, 2016   Batch numbers:  1002316290  1002507410  1002549983  1002563270  1001628780  1001657036  1001701452  1002635170",United States,"US and Canada,  China, Korea and Mexico",81281,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Fire-Roasted Home-Style Green Pepper Strips;:    Sold in 20 lb.  containers. Brand Name: Jon-Lin¿,60181-4671,"7,219 cases",Food,"During an internal audit at the manufacturing location, it was discovered that finished product had been released on numerous occasions after receiving presumptive positive test results for Listeria monocytogenes and Salmonella; confirmation was not conducted.",F-0322-2019,McCain Foods USA,IL,Terminated,Voluntary: Firm initiated,2018-10-13,2018-10-31,2018-10-29,2019-11-01
10 Fairway Ct,Northvale,Class I,Lot #:  0601 Best Buy Date: 09/01/2022 Lot #:  0621  Best Buy Date: 09/03/2022,United States,"Distributed to distributors and retail stores in GA, WA, WI, NJ, FL, SC, IA, CA, TX, MD, CO,",89103,Letter,TaDah! FALAFEL STREET WRAP WITH SPICY BROWN SUGAR HARISSA HUMMUS NET WT. 7.5 OZ. UPC Code:8-5019800307-5,07647-2401,2800 cases,Food,Undeclared milk allergen,F-0268-2022,The Fillo Factory Inc.,NJ,Terminated,Voluntary: Firm initiated,2021-11-15,2021-12-15,2021-12-06,2022-02-11
10 Washington Ave,Fairfield,Class II,a) Crimson Punch - Lot #13086 - exp date 04/01/2015  b) Orange - Lot #13085 - exp date 04/01/2015  c) Raspberry Lemonade - Lot #13087 - exp date 01/01/2015,United States,FL,67842,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Juggernaut     a) Crimson Punch UPC 811020906803  b) Orange UPC  811020906841  c) Raspberry Lemonade UPC 811020906858    Net Wt. 1.76 lbs.   Manufactured in the USA Infinite Labs, LLC  PO Box 533736 Orlando, FL 32853  1-877-455-2271",07004-3843,1990 units,Food,"Command Nutritionals LLC is recalling Hard Blast-Pink Lemonade and Juggernaut- Various flavors due to contaminated L-Citrulline which was received from Axel Chemicals, Brentwood, TN.",F-1818-2014,"Command Nutritionals, LLC",NJ,Terminated,Voluntary: Firm initiated,2014-03-11,2014-04-16,2014-04-10,2015-04-28
100 Bridge St,East Windsor,Class I,expiration 08/12/2022,United States,"MA, CT",90745,Press Release,Spicy tuna roll (9.6 oz) with expiration 08/12/2022,06088-9585,24 rolls total,Food,Contains undeclared egg.,F-1727-2022,EZ Noble Sushi,CT,Terminated,Voluntary: Firm initiated,2022-08-11,2022-09-21,2022-09-09,2022-11-03
100 Corporate Dr,Yonkers,Class I,,United States,"Alabama, California, Georgia, Illinois, Kentucky, Maine, Massachusetts, Michigan, Mississippi, New Jersey, New York, North Carolina, Ohio, Pennsylvania, South Carolina, Tennessee, West Virginia and Virginia",81965,Letter,"Peaches, sold as a bulk retail item, with PLU 4044, and country of origin of Chile.     The peaches sold at Aldi are packaged in a two pound bag with the brand Rio Duero, EAN# 7804650090281.",10701-6807,3299 cartons (total for all products),Food,Product may be contaminated with Listeria monocytogenes.,F-1051-2019,Jac Vandenberg Inc.,NY,Terminated,Voluntary: Firm initiated,2019-01-22,2019-02-06,2019-02-22,2019-07-09
100 Hillside Ave,White Plains,Class II,UPC 36632 00427 Expiration code of NOV 25 2012 MZ,United States,"The product was distributed nationwide including the states of: FL, GA, IL, IN, KY, MD, ME, MI, NC, NY, OH, PA, SC, VA, WI.",63529,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Dannon Light & Fit Carb & Sugar Control Cultured Dairy Snack Vanilla Flavor 4x4oz cups,10603-2861,662 cases / 6 / 4x4 oz cups,Food,The recalled products may potentially contain metal fragment(s) from a faulty manufacturing part.,F-1242-2013,"The Dannon Company, Inc - Discovery & Innovation Center",NY,Terminated,Voluntary: Firm initiated,2012-10-23,2013-03-27,2013-03-20,2013-08-21
100 Hollister Rd Unit C1,Teterboro,Class II,Lot number: 2060; Sell by 031218 thru 031818,United States,"The product was distributed to the following states: CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA,VA, RI, VT",79527,E-Mail,Name: Trader Joe s Chocolate Chip Cookies SKU 68075  Net Weight: 12 oz. (340g)  Number of units per package: 16 cookies  Package type: Kraft paper bag,07608-1139,"2,851 bags",Food,"Food & Beverage Inc., dba Chris's Cookies has initiated a recall of Trader Joe s Peanut Butter Sutter s Formula Cookies  (Trader Joes SKU 93307) that was packed in a Trader Joes branded Chocolate Chip Cookie bag, and sent out as Chocolate Chip Cookies.      Please note the Chocolate Chip Cookie bag has a statement on the back that says:  MAY CONTAIN TRACES OF PEANUTS AND TREE NUTS , but since the wrong product packed is based almost completely in peanut this could represent a bigger risk for those who have peanuts allergies. Thus, prompting the firm to error on the side of public safety and initiate a recall.",F-0979-2018,Food and Beverage Inc.,NJ,Terminated,Voluntary: Firm initiated,2018-03-12,2018-03-28,2018-03-27,2018-05-04
100 Lincoln Way E,Massillon,Class I,"Lot #: OCT 31 2016, Expiration Date: 10/31/16",United States,The product was distributed to the following states: MI.,75140,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Meijer brand No Salt Added Original Kettle Cooked Potato Chips, 8.5oz bag.  15 bags per case.",44646-6673,280 cases (4200 bags),Food,Undeclared allergens: milk (whey) and soy.,F-0617-2017,"Shearers Foods, Llc",OH,Terminated,Voluntary: Firm initiated,2016-09-08,2016-12-14,2016-12-07,2017-08-22
100 Lincoln Way E,Massillon,Class I,UPC: 719283594365    Lot Code 04110831 Sell By 07/16/18  Lot Code 04210831 Sell By 07/16/18  Lot Code 04311632 Sell By 07/16/18  Lot Code 04111732 Sell By 07/16/18  Lot Code 04312430 Sell By 07/23/18  Lot Code 04213135 Sell By 07/30/18  Lot Code 04114434 Sell By 08/13/18,United States,"Products were distributed in Michigan only to their distributor. However, products were eventually distributed to OH, MI, IN, IL, KY and WI.",80191,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Meijer DILL PICKLE FLAVORED CLASSIC CRUNCH POTATO CHIPS***UPC 719283594365***LOT CODE***,44646-6634,2273 Cases with 11 bags (9.5 oz) per case,Food,Milk allergen was not declared on the labeling of the product.,F-1541-2018,"Shearers Foods, Llc",OH,Terminated,Voluntary: Firm initiated,2018-05-29,2018-06-20,2018-06-08,2019-02-14
100 N Point St,San Francisco,Class II,"Lots: PO20710118, PO1351612, PO1351614, PO20710120.  Best Before JAN2018 02118:A1 or Best Before JAN2018 02018:A1.",United States,"Nationwide and one retail  location in British Columbia, Canada",75985,E-Mail,"Williams-Sonoma Meyer Lemon Poppy Quick bread mix, NET WT. 1 LB. 2 OZ (509 g)",94133-1550,"1220 units, 972 units currently at retail outlets",Food,Williams Sonoma was notified by their contract manufacturer that high heat non fat dry milk powder that is now under recall for Salmonella was used in production of one of their quick bread mixes.,F-1236-2017,Williams-Sonoma,CA,Terminated,Voluntary: Firm initiated,2016-12-13,2017-01-18,2017-01-12,2017-01-24
100 Pirson Pkwy,Tonawanda,Class I,Best By 4/20/17,United States,"IN, LA, MA, MD, MI, NJ, NY, PA,VA, WV & SC via retail stores",74112,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Flave! TROPICAL TRAIL MIX, NET WT 8OZ (226g), shipped 12 packs per case",14150-6727,953 cases total,Food,Product has the potential to be contaminated with Listeria monocytogenes,F-0699-2017,First Source Llc,NY,Terminated,Voluntary: Firm initiated,2016-05-23,2016-12-21,2016-12-12,2018-06-14
100 Pirson Pkwy,Tonawanda,Class II,All date codes,United States,"AR, AZ, CA, CO, FL, GA, IL, KY, LA, MA, MD, ME, MN, NC, NJ, NM, NV, NY, TX, UT, VA, VT, and WV  Foreign: Canada",78399,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Wegmans Dark Chocolate Strawberries 13.5oz (383g) tub, UPC: 0 77890 38187 8",14150-6727,775 cases,Food,Chocolate products contain undeclared milk,F-0482-2018,"First Source, LLC",NY,Terminated,Voluntary: Firm initiated,2017-10-30,2017-12-20,2017-12-13,2018-08-16
